Rank,Position,Player,Age,GamesPlayed,PlateAppearances(PA),AtBats(AB),RunsScored (R),Hits(H),Double(s)(2B),Triple(s)(3B),HomeRun(s)(HR),Run(s)BattedIn(RBI),StolenBase(s)(SB),CaughtStealing(CS),Walk(s)(BB),StrikeOut(s)(SO),BattingAverage(BA),OnBasePercentage(OBP),SluggingPercentage(SLG),On-basePercentage+Slugging(OPS),On-base+Slugging+(OPS+),TotalBasesGained(TB),GroundoutDouble-Play(GDP),HitByPitch(HBP),SacrificeBunt(s)(SB),SacrificeFlyball(SF),IntentionalWalk(IBB)
1,C,JT Realmuto,31,139,562,504,75,139,26,5,22,84,21,1,41,119,0.276,0.342,0.478,0.82,130,241,7,12,,5,1
2,1B,Rhys Hoskins,29,156,672,589,81,145,33,2,30,79,2,1,72,169,0.246,0.332,0.462,0.794,123,272,12,6,0,4,0
3,2B,Jean Segura,32,98,387,354,45,98,9,0,10,33,13,6,25,58,0.277,0.336,0.387,0.723,105,137,16,7,0,1,1
4,SS,Bryson Stott,24,127,466,427,58,100,19,2,10,49,12,4,36,89,0.234,0.295,0.358,0.653,85,153,3,1,1,1,0
5,3B,Alec Bohm,25,152,631,586,79,164,24,3,13,72,2,3,31,110,0.28,0.315,0.398,0.713,101,233,18,4,0,10,1
6,LF,Kyle Schwarber,29,155,669,577,100,126,21,3,46,94,10,1,86,200,0.218,0.323,0.504,0.827,131,291,10,4,0,2,3
7,CF,Matt Vierling,25,117,357,325,41,80,12,2,6,32,7,4,23,70,0.246,0.297,0.351,0.648,84,114,7,3,0,6,0
8,RF,Nick Castellanos,30,136,558,524,56,138,27,0,13,62,7,1,29,130,0.263,0.305,0.389,0.694,96,204,15,3,0,2,0
9,DH,Bryce Harper,29,99,426,370,63,106,28,1,18,65,11,4,46,87,0.286,0.364,0.514,0.877,146,190,13,3,0,7,9
10,SS,Didi Gregorius,32,63,232,214,17,45,9,4,1,19,1,0,13,36,0.21,0.263,0.304,0.567,61,65,0,3,0,2,0
11,CF,Odubel Herrera,30,62,197,185,23,44,9,1,5,21,6,0,11,42,0.238,0.279,0.378,0.658,85,70,3,0,0,1,0
12,SS,Johan Camargo,28,52,166,152,8,36,3,0,3,15,0,0,13,37,0.237,0.297,0.316,0.613,75,48,1,0,1,0,0
13,DH,Darick Hall,26,41,142,136,19,34,8,1,9,16,0,0,5,44,0.25,0.282,0.522,0.804,122,71,3,1,0,0,0
14,CF,Brandon Marsh,24,41,138,132,15,38,9,2,3,15,2,2,6,41,0.288,0.319,0.455,0.773,117,60,2,0,0,0,0
15,C,Garrett Stubbs,29,46,121,106,19,28,4,1,5,16,2,0,14,30,0.264,0.35,0.462,0.812,129,49,2,0,1,0,0
16,UT,Nick Maton,25,34,85,72,13,18,2,1,5,17,0,0,10,29,0.25,0.341,0.514,0.855,139,37,0,1,0,2,0
17,UT,Yairo Munoz,27,29,60,57,7,12,2,0,3,7,1,0,3,10,0.211,0.25,0.404,0.654,82,23,0,0,0,0,0
18,IF,Edmundo Sosa,26,25,59,54,9,17,7,1,2,13,3,0,1,12,0.315,0.345,0.593,0.937,160,32,3,2,1,1,0
19,CF,Mickey Moniak,24,18,50,46,4,6,1,0,0,2,0,0,3,19,0.13,0.184,0.152,0.336,-3,7,0,0,1,0,0
20,CF,Roman Quinn,29,23,40,37,8,6,1,0,0,3,4,1,3,15,0.162,0.225,0.189,0.414,20,7,0,0,0,0,0
21,UT,Dalton Guthrie,26,14,28,21,3,7,0,0,1,5,1,0,6,7,0.333,0.5,0.476,0.976,180,10,0,1,0,0,0
22,CF,Bradley Zimmer,29,9,16,16,4,4,1,0,0,0,0,0,0,4,0.25,0.25,0.313,0.563,59,5,0,0,0,0,0
23,CF,Simon Muzziotti,23,9,9,7,0,1,0,0,0,0,0,0,0,2,0.143,0.25,0.143,0.393,16,1,0,1,1,0,0
24,DH,Donny Sands,26,3,4,3,0,0,0,0,0,0,0,0,1,1,0,0.25,0,0.25,-20,0,1,0,0,0,0
25,CF,Oscar Mercado,27,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
26,2B,Scott Kingery,28,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
27,P,Jose Alvarado,27,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
28,P,Noah Syndergaard,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
29,P,Michael Plassmeyer,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
30,P,Corey Knebel,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
31,P,Sam Coonrod,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
32,P,Kyle Gibson,34,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
33,P,Jeurys Familia,32,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
34,P,Cristopher Sanchez,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
35,P,James Norwood,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
36,P,Francisco Morales,22,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
37,P,Nick Duron,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,Chris Devenski,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,Ranger Suarez,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Tyler Cyr,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,Damon Jones,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
42,P,JoJo Romero,25,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
43,P,Andrew Bellatti,30,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,P,Mark Appel,30,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Aaron Nola,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
46,P,Connor Brogdon,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
47,P,Brad Hand,32,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
48,P,Zach Eflin,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
49,P,Bailey Falter,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
50,P,Zack Wheeler,32,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
51,P,Bubby Rossman,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
52,P,Nick Nelson,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
53,P,Seranthony Dominguez,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
54,P,Vinny Nittoli,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
55,P,David Robertson,37,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
56,P,Michael Kelly,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
